,global rank,india rank,rating,username,country
0,120,1,2841.96,aryanc403,India
1,222,2,2707.79,ap1008,India
2,230,3,2701.02,LosingNowLosingLate,India
3,264,4,2676.75,taran_1407,India
4,275,5,2667.42,anil9717,India
5,320,6,2639.48,razimantv,India
6,327,7,2636.84,mafailure,India
7,328,8,2636.38,srikkanthr,India
8,368,9,2614.36,Ajit123,India
9,424,10,2587.11,r_d_,India
10,475,11,2561.77,satviksr,India
11,479,12,2559.93,amit_kr31,India
12,480,13,2559.81,crazymerlyn,India
13,500,14,2550.94,tanmay_raj_29,India
14,532,15,2537.68,astroash,India
15,533,16,2537.53,yatin_kwatra,India
16,545,17,2530.96,zanj0,India
17,561,18,2525.81,nagabhushan,India
18,562,19,2525.40,cheatcode,India
19,570,20,2523.24,jika_jik,India
20,576,21,2520.40,izaj_iitkgp,India
21,602,22,2510.88,neeraj745,India
22,665,23,2486.54,ajinkya1p3,India
23,674,24,2482.36,roll_no_1,India
24,676,25,2481.87,_merlin_,India
25,701,26,2471.63,shuba400,India
26,709,27,2470.18,abhishekvanjani,India
27,713,28,2468.78,bipinpathak,India
28,749,29,2459.21,deepak022,India
29,752,30,2458.26,jeeadvanced,India
30,784,31,2449.24,ghoshashis545,India
31,811,32,2442.91,anujdhillon,India
32,820,33,2440.75,soghosh,India
33,824,34,2439.38,feynman_1729_67,India
34,825,35,2439.37,k_a_r_a_n,India
35,833,36,2437.85,horcrux903,India
36,852,37,2432.68,arjitkansal,India
37,919,38,2414.39,changoi,India
38,925,39,2413.30,dolamanee6122,India
39,930,40,2412.47,badriisurmi,India
40,938,41,2410.62,dush1729,India
41,967,42,2405.66,maester_,India
42,971,43,2404.85,Chandraprabhu,India
43,1012,44,2396.16,dasarisrinivas,India
44,1018,45,2394.73,umang1975,India
45,1034,46,2389.46,abhidot,India
46,1046,47,2386.74,yash30201,India
47,1099,48,2370.39,satvikb,India
48,1105,49,2369.45,l_returns,India
49,1113,50,2366.77,ronnith,India
50,1135,51,2362.54,yash_daga,India
51,1145,52,2360.75,itishagarwal2000,India
52,1149,53,2360.36,abhigyankole,India
53,1169,54,2357.51,kim_123,India
54,1171,55,2357.18,biltharesatyendra,India
55,1182,56,2354.08,balu_r,India
56,1189,57,2351.77,mrunankmistry52,India
57,1190,58,2351.76,ssid8802,India
58,1204,59,2348.77,karansiwach360,India
59,1212,60,2347.59,kkdrummer,India
60,1216,61,2346.85,Qg3,India
61,1228,62,2345.47,amit123sharma,India
62,1252,63,2342.73,tyagsa,India
63,1255,64,2342.40,dedpoolman,India
64,1268,65,2340.57,lifeofpriyam2,India
65,1285,66,2337.34,souravrax,India
66,1286,67,2337.21,pasricha_dhruv,India
67,1292,68,2335.79,hkmaxi,India
68,1304,69,2334.38,awaracoder,India
69,1307,70,2333.90,Anushk_23,India
70,1323,71,2331.29,Aabhas99,India
71,1327,72,2330.45,akshay7797,India
72,1357,73,2326.39,vivek_shah98,India
